clean_text,Language,text_length,word_count
espace principal contient article encyclopédiques peuvent être rangés plusieurs catégories lesquelles peuvent être organisées selon hiérarchisation arborescente thématique exemple pay europe puis italie puis ville italie,French,285,42
page outre reliées unes autres hyperliens interne permettant lecteur déplacer travers encyclopédie,French,145,23
autres hyperliens permettent naviguer entre différentes version linguistiques conduire vers projets frères exemple fournir définition mot wiktionnaire galerie image wikimedia common,French,246,35
clic souris illustration wikipédia conduit page description fichier multimédia indiquant notamment nom auteur licence sou laquelle publié,French,190,32
hyperliens externes mènent source information ligne venant appui article,French,99,14
article proposent aussi souvent lien externes vers références documentation ligne permettant approfondir sujet,French,139,20
lien classés follow suivre robot indexation moteurs recherche afin décourager insertion lien publicitaire,French,180,30
afin assurer pérennité lien vers source internet archive réparé 2018 près million lien brisés,French,129,22
chaque page onglets permettent accéder fonctions modification intermédiaire éditeur visuel intermédiaire code source wikicode,French,183,25
historique permet lister auteur consulter modification successives article rédacteurs,French,121,18
modification identifiées adresse rédacteur pseudonyme préalablement identifié,French,126,17
chaque article rattachée page discussion permettant rédacteurs lecteurs discuter débattre rédaction article,French,151,24
différentes communautés linguistiques rédacteurs wikipédia élaboré règles convention principe guidant rédaction article propres,French,185,26
elles respectent toutes principe fondateurs encyclopédie passage cet article désuets annoncent événements désormais passés,French,161,22
améliorez discutez,French,28,3
pouvez également préciser section actualiser utilisant section actualiser,French,95,13
analysis statistiques menées chercheurs université carnegie mellon palo alto research center étudient état couverture thématique wikipédia anglais janvier 2008,French,206,29
répartition montre nette prédominance article culturels,French,68,9
pourcentages suivent ceux janvier 2008 variation entre parenthèses représentent évolution depuis juillet 2006,French,137,19
intervalle nombre page catégories plus doublé wikimedia foundation permet différentes version linguistiques wikipédia héberger directement contenu multimédia image vidéo carte plan son,French,243,34
incite néanmoins différentes communautés déplacer contenu libre vers plate forme multimédia commune ensemble 303 version linguistiques wikipédia wikimedia common,French,195,27
cependant nombreuses image celles dont statut vi vi droit auteur varie selon pay celles protégées copyright incompatibles téléversement sou licence ouverte acceptées,French,234,35
chaque version linguistique dotée critères spécifiques doctrine réglementant hébergement contenu non libre comme illustration protégées droit auteur publiées grâce exception présentes certaines législations,French,265,35
exemple wikipédia anglais adopté principe américain fair use usage raisonnable français contrairement wikipédia français,French,161,24
afin augmenter nombre image libres disponibles illustrer article concours photographique international wiki love earth propose prendre photo sujet patrimoine naturel puis téléverser répertoire wikimedia common,French,271,38
wikimédia common héberge plus million image,French,59,8
depuis création contenu encyclopédie wikipédia cessé grandir quantité proportion difficilement imaginables débuts,French,154,22
départ comparable autres encyclopédies existantes rapidement dépassées taille couverture,French,121,17
wikipédia site plus fréquentés monde plus 600 million visites quotidiennes,French,113,18
constitue plus grand plus populaire ouvrages références générales internet total 160 million page disponibles,French,152,24
ainsi fin 2009 wikipédia contenait déjà million article auxquels convenait ajouter document médiathèque wikimedia common contenant million fichiers,French,186,25
document chaque mois consultés 346 million visiteurs uniques,French,86,12
dessin dessous illustre cette volumétrie,French,50,7
2015 image volumétrie 2009 reprenant étude menée jacopo farina collègues réalisée aide logiciel minecraft,French,166,28
wikipédia projet multilingue composé près 300 projets linguistiques distincts,French,95,13
chaque version linguistique gérée communautés bénévoles différentes bénéficie certaine autonomie fonctionnement,French,139,18
règles édition peuvent exemple varier version linguistique autre,French,85,12
total ensemble version linguistiques représente milliard modification dizaines million page encyclopédiques construites centaines milliers contributeurs,French,204,27
liste wikipédias actualisée régulièrement disponible site méta wiki,French,87,12
certaines éditions wikipédia telles éditions cebuano waray waray nombre article très élevé malgré nombre limité utilisateurs raison utilisation logiciel robot générer article,French,243,36
existe également classement qualitatif fondé existence taille article liste arbitraire environ 000 article toute édition wikipédia devrait avoir,French,189,28
projet wikipédia limite langues vivantes comptant très grand nombre locuteurs officielles attachées pay,French,137,23
effet version encyclopédie wikipédia rédigées langues corse occitane bretonne picarde basque catalane latine espéranto anglais simplifié,French,179,24
sept version linguistiques encyclopédie recourent orthographe typographie wikipédia accent aigu désigner encyclopédie trois éditions wikipédia plus consultées 2010 après site alexa internet version anglais trafic version japonais trafic version allemand trafic,French,395,65
depuis juillet 2020 abstract wikipedia projet fondation wikimedia vise créer version indépendante langue wikipédia utilisant données structurées provenant wikidata,French,212,31
tout lecteur wikipédia rédacteur correcteur potentiel,French,67,10
fin 2008 sondage effectué wikimedia foundation unu merit,French,75,12
environ 130 000 lecteurs contributeurs wikipédia répondu principalement langues anglaise allemande espagnole,French,129,18
moyenne âge sondés environ an,French,47,9
fois résultats lissés environ entre déclaraient seulement lecteurs contributeurs,French,113,18
parmi contributeurs entre fait études supérieures obtenu master plus,French,112,20
contributeurs passent moyenne heures semaine wikipédia leurs motivation principales partager savoir corriger erreurs,French,166,25
certains comptes utilisateurs utilisés logiciels dit robot bot programmés assurer maintenance article exemple corriger erreurs commune orthographe mise forme lutter contre vandalismes encore certaines éditions wikipédia créer nombreux nouveaux article,French,351,52
2014 robot effectué près ensemble contribution,French,82,14
arrive mener guerres édition entre parfois pendant plusieurs années,French,98,16
rédacteurs répartissent généralement communauté linguistique concentrée rédaction version wikipédia correspondante interviennent aussi souvent ponctuellement version wikipédia autres langues projets frères wikimedia foundation,French,291,39
depuis 2008 comptes enregistrés peuvent être unifiés seul compte sert ainsi identifier utilisateur tous projets wikimedia foundation,French,161,25
parmi contributeurs toujours plus hommes femmes,French,76,13
2010 étude réalisée partir enquête auprès contributeurs contributrices travaux antérieurs genre expérience internet compétences contribuer suggère ceci partie fait hommes manière générale plus développé certaines compétences utiles internet contribuer type projet,French,383,60
contributeur classé actif tant fait moins cinq modification mois,French,90,16
depuis 2007 nombre contributeurs actifs ensemble version linguistiques wikipédia presque divisé deux,French,136,20
rédacteur peut être identifié adresse pseudonyme enregistré site,French,107,19
plus million éditeurs créé compte 300 000 considérés comme actifs,French,95,15
wikipédia comptes utilisateurs disposent différents statuts technique gérés logiciel mediawiki contrôlant action permises,French,174,25
critères acquérir statut façon servir capacités fournies fixés indépendamment chaque communauté,French,133,21
parmi statuts principaux wikimedia foundation fournit statistiques mensuelles site,French,117,17
trouve notamment somme nombres contributeurs fait moins 100 modification ensemble éditions trouve également somme nombres contributeurs fait moins modification ensemble éditions trouve également nombre page vues ensemble éditions modification apportées article font objet plusieurs niveaux surveillance posteriori permettent corriger erreurs plus évidentes,French,502,76
selon figaro cofondateur wikipédia jimmy wale affirme ainsi général correction erreur information fallacieuse lieu quelques heures voire quelques minute,French,209,32
étude université minnesota affirme jusqu 2006 deux million modification problématiques réparées temp rend peu probable lecture visiteur alors environ vandalismes détectés persistaient après avoir vus cent fois,French,296,47
manière grande majorité vandalismes détectés corrigés après révisions plus,French,116,18
2009 dominique cardon julien levrel attribuent partie réussite mode correction processus amélioration continue wikipédia gouvernance fondée vigilance participative,French,219,34
premier niveau tous changements accessibles temp réel page récapitulant modification récentes,French,130,21
flux scruté permanence volontaires ainsi quelques automates,French,91,14
vandalismes plus évidents écrasements page entières message insulte graffiti généralement détectés stade corrigés secondes minute suivent retour version précédente,French,226,34
premier niveau contrôle porte essentiellement forme,French,65,10
surveillants volontaires peuvent également corriger problèmes évidents orthographe style éventuellement effectuer contrôle cohérence rapide ajout particulièrement suspect,French,204,26
2006 vandalismes détectés facilement humains modification dénuées sen offensantes encore suppression massif certaines catégories modification semblaient plus délicates repérer désinformation suppression partielle spam autres,French,295,40
deuxième niveau contrôle consiste rédacteur inscrit examiner liste suivi liste page marquées surveiller modification apportées récemment,French,198,32
cet examen permet détecter corriger assez rapidement principaux problèmes fond erreurs manifestes ajouts hors sujet manque objectivité neutralité formulation,French,194,29
coauteurs article peuvent ainsi contrôler manière plus approfondie ajouts suspect nécessaire appuyant source référence,French,157,23
quand deux premier niveaux contrôle conduisent correction correcteur volontaire peut examiner ensuite ensemble ajouts effectués contributeur peut permettre rattraper modification échappé deux premier niveaux contrôle,French,288,42
quand apparaît contributeur problème trop souvent contribution négative wikipédia peut faire interdire écriture toute encyclopédie administrateurs élus parmi contributeurs pouvoir supprimer protéger page bloquer exclure contributeur suite décision comité arbitrage aussi composé membres choisis communauté,French,430,68
erreurs échappent premier niveaux contrôle erreurs peu évidentes portent article marginaux faible avancement peu surveillés,French,176,28
erreurs peuvent rester mois voire années article restent autant plus longtemps article peu peu modifié,French,148,24
elles peuvent être corrigées spontanément lecteur,French,57,8
plus faveur nouvelle modification article repasse contrôles précédents correcteurs volontaires peuvent décider cette occasion relire intégralité corriger éventuelles erreurs anciennes,French,236,33
dernier niveau contrôle collectif formé projets amélioration article rattachés thème donné organisé autour portail,French,155,24
cadre article relus complétés corrigés volontaires passionnés thème,French,107,17
article bénéficient relectures initialement corrigés continuent généralement être suivis équipe portail réf,French,149,22
nécessaire chaque communauté établit aussi procédures labelliser article fonction critères spécifiques processus conduit exemple deux catégories article bon article good article wikipédia anglais article qualité featured article wikipédia anglais,French,331,52
autres procédures développées testées différentes communautés langue comme projet wikitrust filtres automatiques contrôlant texte proposé publication version travail nécessitant relecture avant être incorporés version publiée flagged revision réf,French,310,43
souhaitée,French,11,1
étude menée chercheurs université carnegie mellon palo alto research center année 2008 intéresse également contribution différents thèmes encyclopédie conflits décomptant nombre annulations modification ramené taille catégorie correspondant thème annulations modification plus nombreuses certains article dont ensemble partie contenu trouve particulièrement controversé,French,484,68
étude montre article diffèrent selon langues encyclopédie,French,84,12
encyclopédie wikipédia français dix article plus controversés selon critère annulations fin mar 2010 suivants statut wikipédia tant source référence sujet controverses particulier cause système rédaction ouvert tous,French,306,51
audience grandissante wikipédia conduit grand nombre personnes formuler avis critique fiabilité information présentées cette encyclopédie,French,175,25
critique récurrentes page spéciale wikipédia consacrée réponses participant wikipédia objection plus fréquentes,French,158,22
principales critique portent critique wikipédia accusent incohérences partialité systémique forme anti élitisme avoir politique favorisant trop consensus processus éditorial,French,242,31
fiabilité précision wikipédia aussi question débattues,French,81,12
autres critique portent essentiellement sensibilité vandalisme ajout fausses information bien travaux suggéré vandalisme généralement courte durée,French,213,29
autres critique révèlent plutôt positive,French,48,6
ainsi juin 2009 philosophe français bernard stiegler estime wikipédia passage obligé tout utilisateur internet exemple frappant économie contribution encyclopédie conçu système intelligence collective réseau,French,279,43
études menées qualité contenu proposée wikipédia comparaisons effectuées autres encyclopédies,French,135,20
évaluations fournissent généralement conclusion positive wikipédia résultats font aussi objet critique,French,138,17
traitement inégalitaire hommes femmes tant nombre article qualité neutralité contenu présentation femmes plus péjorative fait objet analysis convergentes,French,224,29
toutefois études concluent fait savoir biais provient contributeurs mêmes source disponibles,French,156,25
2017 journée internationale droits femmes mar nombreuses initiative améliorer nombre article consacrés personnalités féminines,French,193,27
octobre 2018 lors attribution nobel physique donna strickland absence wikipédia fait réagir suscite certaines critique représentativité femmes encyclopédie tout pointant doigt responsabilité médias universitaires préalablement donné couverture significative durable cette chercheuse,French,381,56
critique souvent formulée communauté transgenre transphobie communauté anglophone wikipédia,French,123,17
refus utilisation source primaires peut notamment mener utiliser deadnames respecter identité genre personne relève transphobie,French,192,30
version wikipedia anglais dispose convention style propos identité genre préconisent article doit utiliser identité genre exprimée sujet article source plus récente,French,235,38
toutefois souligner magazine marianne rappelle quelques heures ellen remplacé elliot titre article fiche wikipédia elliot page,French,193,30
wikimedia foundation fait part inquiétude quant départ personnes contribuant wikipédia raison harcèlement lié identité genre,French,165,27
conséquent wikipedia adopte code conduite lutter contre harcèlement suite problèmes comportementaux certains éditeurs fils discussion tournent pugilat voire harcèlement membre communauté encontre autres notamment encontre femmes personnes communauté lgbt etc,French,349,54
jusqu conseil administration vienne suspendre administrateur pendant encontre tradition communauté règle généralement problèmes manière collégiale,French,214,33
wikipédia projets parallèles wikis libres,French,58,9
premier wiki créé 1995 ward cunningham appelle wikiwikiweb,French,84,13
wiki site web dynamique dont visiteurs autorisés peuvent modifier page lisent navigateur web,French,130,21
wikipédia exemple syntaxe utilisée modifier page beaucoup plus simple celle hypertext markup language censée permettre apprentissage rapide,French,189,29
fonctionnement wikipédia assuré logiciel libre mediawiki plate forme wiki adaptée wikipédia écrite php utilisant base données mysql,French,170,27
mediawiki sou licence gnu gpl 2010 utilisé tous projets wikimedia ainsi nombreux autres site wikis,French,134,24
origine wikipédia utilisait logiciel usemodwiki développé clifford adam perl requérant usage camel case création lien entre article,French,178,28
partir janvier 2002 version anglais wikipédia utilise logiciel développé magnus manske écrit php version autres langues restées sou logiciel usemodwiki,French,204,34
partir 2002 tous site progressivement migrés vers mediawiki,French,82,13
information contenues wikipédia toutes langues confondues conservées base données peuvent être téléchargées,French,144,19
succès croissant wikipédia nécessite emploi grand nombre serveurs informatiques fonctionnent tous système exploitation gnu linux principalement ubuntu,French,187,23
installation présentes tampa floride amsterdam pay ba site sud coréen hébergement yahoo,French,129,20
accueille serveurs,French,34,5
wikimedia foundation,French,27,4
serveurs organisés trois couch plusieurs site web comme ganglion permettent consulter diverses information fonctionnement serveurs notamment charge processeurs mémoire occupée description précise architecture serveurs difficile car change très fréquemment raison améliorations régulièrement apportées répondre très fort trafic engendré consultation wikipédia,French,457,63
cet aspect wikipédia géré personnel technique wikimedia foundation,French,87,14
wikimedia foundation possède différentes marque wikipedia wikimedia serveurs site web agit comme hébergeur web,French,138,19
association nationales promouvoir wikipédia libre partage connaissances existent plusieurs pay,French,136,19
elles reprennent généralement intitulé wikimedia wikimédia belgique wikimédia france wikimédia suisse etc,French,126,14
association reconnues comme association locale wikimedia foundation juridiquement liées aucune responsabilité contenu wikipédia,French,186,26
elles généralement désignées comme chapter chapitre pay donné,French,81,12
association type présentes angleterre allemagne argentine australie autriche france hong kong israël italie pay ba pologne république tchèque russie serbie suède suisse taïwan,French,266,44
différentes communautés linguistiques wikimedia foundation accordent publier wikipédia projets frères sans recourir financement publicitaire réf,French,174,22
nécessaire,French,12,1
soutenue uniquement don lecteurs mécènes fondations wikimedia foundation emploie trentaine personnes septembre 2014 213 noms constituent équipe wikimédia principalement techniciens gérant serveurs hébergeant différents site,French,288,38
année fiscale 2007 2008 reçu million dollar don,French,83,14
selon comscore wikipédia acquis influence mondiale,French,62,8
selon comscore alexa internet wikipédia figure depuis 2007 parmi dix site plus visités monde seul site non commercial,French,151,24
croissance wikipédia favorisée classement résultats recherche google environ trafic moteurs recherche vers wikipédia provenant google dont grande partie liée recherche universitaire,French,266,41
avril 2007 pew internet american life project constaté tier internautes américains consultaient wikipédia,French,135,20
octobre 2006 site estimé valeur marché hypothétique 580 million dollar américains publicités,French,144,25
juillet 2007 wikipédia fait objet documentaire minute bbc radio affirmait wikipédia devenu terme connu tout monde titre google facebook youtube,French,236,46
cinéaste néerlandais ijsbrand van veelen créé documentaire télévisé minute avril 2008 truth according wikipedia,French,143,22
pay pauvres livre rare abonnement internet hors prix wikipédia massivement utilisé étudiants ainsi comme produit appel opérateurs,French,198,30
communiqué presse novembre 2009 wikimedia foundation annonce recevoir plus 320 million visiteurs mois wikipédia projets frères après comscore medium metrix,French,204,31
nombreux projets encyclopédie existent déjà existé internet,French,80,13
certains tels stanford encyclopedia philosophy défunte nupedia adopté politique éditoriale traditionnelle exemple seul auteur article,French,181,26
forte fréquentation wikipédia combinée critique principe fonctionnement également poussé développement projets concurrents,French,157,21
citizendium exemple encyclopédie ligne anglais dirigée larry sanger publiée sou licence libre,French,120,19
distingue notamment obligation rédacteurs indiquer nom préciser leurs diplômes,French,115,17
décembre 2009 citizendium propose 790 article dont 121 approuvés système sélection,French,113,19
titre comparaison date wikipédia anglais propose 116 306 article dont 710 présentés comme article qualité featured article,French,163,28
exemple wikipédia aussi suscité création projets plus spécialisés comme encyclopédie thématique memory alpha consacrée univers star trek site parodique désencyclopédie,French,199,28
également inspirée wikipédia wikimini vikidia offrent dessein pédagogique nouveaux wikis proposant enfants adolescent construire propre encyclopédie ligne,French,203,28
autres tels susning enciclopedia libre universal español wikis lesquels article écrits diver collaborateurs sans processus formel révision,French,191,27
conservapedia encyclopédie collaborative ligne anglais conservatrice créationniste construite réaction neutralité point vue wikipédia anglais jugée trop gauchiste liberal sen américain terme,French,258,41
projet wikipédia aussi influencé création encyclopédie extrême droite dit encyclopédie alternative metapedia créée octobre 2006 suédois puis pendant slave wikislavia,French,210,32
metapedia existe suédois anglais hongrois espagnol français slovaque portugais tchèque roumain allemand estonien norvégien croate danois néerlandais grec,French,219,35
wikislavia existe russe langue appelée sibérien tchakavien croate kaïkavien croate russe latinisé cosaque panslavon moldave,French,182,29
réf,French,5,1
nécessaire ukrainien,French,28,4
influencées positionnement wikipédia internet éditions larousse ouvert mai 2008 encyclopédie ligne accès public gratuit développé espace consacré article rédigés internautes,French,243,38
encyclopædia universalis propose aussi version consultable ligne modèle payant abonnement reposant érudition auteur assumant parti pris éclairé rédaction article,French,216,32
octobre 2009 comparatif magazine clubic portant six encyclopédies ligne francophones concluait prédominance wikipédia exhaustivité actualisation information universalis pertinence,French,241,33
encyclopédie larousse perçue comme compromis viable cumulant aussi défauts deux autres modèles,French,125,17
chine moteur recherche baidu ouvert encyclopédie ligne baidu baike avril 2006,French,101,18
contenu million article juillet 2009 rédigé internautes sinophones cèdent leurs droits auteur baidu,French,135,21
baike com autre encyclopédie ligne chinois reposant technologie wiki contient septembre 2009 million article placés sou copyright,French,175,26
systèmes contrôle assurent deux site information jugées inappropriées gouvernement république populaire chine publiées,French,172,27
titre comparaison wikipédia chinois contient 270 000 article septembre 2009 site web fréquemment bloqué chine notamment parce présentait article sujets sensibles comme manifestation place tian anmen falun gong dalaï lama réf,French,300,47
nécessaire wikipédia devenue sujet actualité débat satire nombreux pay,French,100,16
certaines source médiatiques font satire insistant manque fiabilité wikipédia comme journal satirique onion,French,141,21
autres critiquent fait tout monde peut modifier wikipédia comme épisode série télévisée office michael scott déclare wikipédia meilleure chose tous temp,French,209,36
importe monde peut écrire importe quoi importe quel sujet,French,80,13
émissions radiophoniques télévisées comme colbert report plusieurs fois incité téléspectateurs modifier page wikipédia parfois inclure information volontairement erronées fantaisistes,French,236,33
inversement illustration protestataire wikipédien xkcd amuse obsession wikipédiens fournir source toutes affirmation dénonce démagogie politiques foule assistant discours politique individu brandit pancarte mettant doute assertion homme politique demandant référence,French,349,50
nombreux site internet comme blog site officiels journalistiques peuvent proposer lien complémentaires vers article wikipédia approfondir sujet,French,185,26
2015 puis 2017 londonien sert base wikipédia façon ludique faire voyager virtuellement internautes,French,137,21
2017 compositeur biélorusse ale tsurko réalise album partir article wikipédia,French,99,14
wikipédia travail collaboratif produit rapidement devenus objet études part chercheurs dont partie réunie réseau dit wikimedia research network travaille wikimedia foundation association locale,French,269,41
contenu wikipédia sert références plusieurs article littérature médicale professionnelle,French,110,15
cette tendance bien minoritaire semble 2014 augmentation depuis 2010,French,81,12
plupart citation appuie définition description,French,66,10
cette situation limitée journaux faible facteur impact,French,78,11
suivi consultation article wikipédia états unis pourrait refléter situation épidémique américaine malady telles grippe,French,159,22
2017 archive cantonales canton vaud suisse étudient utilisation vecteur wikipédia mettre valeur vulgariser travaux historiens,French,176,27
certaines réutilisations jugées inappropriées,French,54,6
états unis deux jugements cassés appel parce partis présenté contenu encyclopédie wikipédia soutenir information contenu article jugé trop volatil servir référence sans prévaloir exactitude non information présentée,French,320,47
wikipédia aussi utilisée comme source article presse provoquant polémiques lorsqu information erronée non supportée note référence indiquant source reprise sans vérification journalistes,French,259,35
plusieurs journalistes licenciés plagiat wikipédia,French,84,9
2007 washington post déclare wikipédia devenue point central campagne électorale 2008 états unis précisant tapez nom candidat google premier résultats page wikipédia rend entrées peut être aussi importantes publicités définir candidat,French,338,57
entrées présidentielles déjà modifiées disséquées débattues nombreuses fois chaque jour,French,104,14
article octobre 2007 agence presse reuters indiquait avoir article wikipédia commençait prouver notoriété personne,French,161,23
lors campagne électorale présidentielle française 2017 europe analyse poids chaque candidat wikipédia volume article post discussion etc,French,181,26
médias ensuite relevé engouement wikipédiens créer 300 article consécutifs élections législatives,French,136,17
suite élection nombreux nouveaux députés élus première fois assemblée nationale wikipédiens souvent créer nihilo nouveaux article nouveaux parlementaires,French,210,33
parisien rapporte seuls 309 députés élus marche,French,70,14
page wikipédia avant premier tour législatives,French,73,11
selon ob lors création article personnalités tentatives censure enregistrées article concernant alain péréa buon tan émilie guerel didier martin fait objet intervention visiblement partisanes,French,268,41
volonté wikipédia diffuser contenu libre compris nombre illustration petite influence italie débat parlementaire relatif libertés protection droit auteur,French,219,37
septembre 2007 homme politique italien franco grillini soulevé question parlementaire adressée ministre ressources culturelles activités nécessité introduire législation italienne liberté panorama telle existe autres pay européens,French,302,43
affirmé absence cette liberté forçait wikipédia septième site plus consulté interdire toutes image bâtiments modernes art moderne italien déclaré très handicapant recettes touristiques,French,258,41
contenu figurant wikipédia également cité comme source référence certains rapport communauté renseignement états unis,French,162,24
mar 2015 union américaine libertés civiles aclu déposé plainte nom amnesty international états unis human right watch hrw sept autres organisation non gouvernementales médiatiques juridiques dont fondation wikimedia encontre national security agency nsa accusant avoir dépassé autorité congrès confère,French,391,57
plainte argue droits constitutionnels plaignants violés particulier premier amendement protège liberté parole presse quatrième amendement interdit fouilles saisies sans raison,French,244,40
lila tretikov directrice fondation wikimedia déclare alors wikipedia fondé liberté expression enquête information,French,145,20
violant vie privée usagers nsa menace liberté intellectuelle centrale capacité créer comprendre connaissances,French,164,28
juin 2015 wikimedia foundation annonce utilisation protocole communication chiffré http tout trafic wikimedia optique contrer surveillance globale exercée nsa profite particulier insuffisances protocole communication http matière sécurité,French,322,46
aujourd hui heureux annoncer train mettre œuvre protocole http chiffrer tout trafic wikimedia,French,148,24
allons aussi utiliser mécanisme http strict transport security hsts afin prémunir contre effort visant casser trafic http intercepter ensuite trafic annonce fondation via blog poursuit dénonçant surveillance internet monde surveillance masse devenue menace sérieuse liberté intellectuelle connexion sécurisées devenues essentielles protéger utilisateurs tout autour monde,French,499,77
utilisation protocole http étendra donc wikipédia projets frères afin garantir maximum sécurité utilisateurs,French,147,22
turquie bloque accès wikipédia avril 2017 raison présence article évoquant possible collaboration entre gouvernement turc organisation jihadistes active syrie,French,207,31
décembre 2019 saisie fondation wikimédia cour constitutionnelle pay juge blocage wikipédia constitue violation liberté expression,French,178,29
blocage levé janvier 2020 jour publication arrêt complet cour journal officiel 991 jours après début blocage,French,155,29
turquie seul pay chine toutes éditions wikipédia bloquées,French,114,17
chine bloque accès wikipédia toutes langues avril 2019 cadre censure internet pay,French,132,23
mai 2017 étude berkman klein center internet society relève contrairement certaines craintes exprimées lors débats nourris passage chiffrement http 2015 changement contribué faire baisser censure wikipédia monde,French,280,46
http empêchant censeurs voir quelle page internautes consultent risque états comme russie royaume uni bloquaient accès certaines page site uniquement décident censurer intégralité site,French,259,39
contenu wikipédia utilisé site web devoir scolaires études universitaires livres conférences affaire judiciaires,French,177,26
développement numérique amené changements initiative monde enseignement notamment émergence démarches collaboratives,French,157,21
certains enseignants comme lionel barbe université paris nanterre proposent leurs étudiants atelier collaboratifs notamment wikiversité,French,155,18
cette plate forme permet guider étudiants leurs travaux leurs contribution page wikipédia selon sujets choisis,French,140,21
démarche universitaire intéresse plus plus monde enseignement notamment cours mobilisent utilisation outils propres tic technology information communication,French,218,31
rapport conseil national numérique bâtir école créative juste monde numérique propose réflexion manière inclure culture numérique vie tous citoyens formation apprentissage,French,252,40
wikipédia cité tant modèle socio technique individus peuvent échanger autres travers système partage connaissances,French,165,29
pouvoirs public commencent soutenir modèle enseignement partenariats tels celui ministère culture donnent lieu institutionnalisation progressive wikipédia,French,200,29
autres initiative aussi menées afin développer culture collaborative enseignement,French,104,13
wikipedia education program permet nombreux étudiants universités américaines canadiennes contribuer cadre précis,French,151,21
continuité modèle web enseignement tend développer lien plus savoir pur professeur devenu davantage passeur encourage élèves acquérir mêmes base savoirs,French,220,38
passe alors diffusion connaissance horizontale plutôt verticale laissant étudiants occasion être proactifs,French,140,19
historien science alexandre moatti parle numérique comme nouveau mode communication lequel wikipédia offre terrain recherche adéquat passer concept autre langue autre,French,230,35
2015 étude usage wikipédia enseignement français montre utilisation accrue encyclopédie participative tant ressource enseignants élèves,French,202,28
lors forum numérique éducatif organisé enseignants locaux insa blois intervenant rappelé pertinence wikipédia longue échéance établissements scolaires particulier vue montrer élèves comment construit savoir,French,287,45
ensemble prix décernés wikipédia peut être wikipédia meta page trophy shelf,French,99,16
wikipédia reçu deux prix mai 2004,French,39,8
premier golden nica communautés numériques remis ar electronica somme 000 invitation présenter pae cyberart festival autriche plus tard année,French,225,40
deuxième webby award catégorie communauté remis international academy digital art science basée new york,French,154,25
wikipédia également proposée webby award catégorie meilleures pratiques,French,98,16
septembre 2004 version japonaise wikipédia reçu web creation award part association publicitaires japonais,French,137,22
cette récompense normalement donnée personnes réelles grandes contribution web japonais acceptée contributeur longue date wikipedia japonais,French,188,29
janvier 2007 wikipédia aussi nommée quatrième meilleure marque lecteurs brandchannel recevant voix réponse question quelle marque plus impact vies 2006,French,224,42
septembre 2008 wikipédia reçu prix quadriga 2008 également attribué boris tadić eckart höfling peter gabriel,French,132,22
prix décerné jimmy wale david weinberger,French,67,12
2009 webby award classent création wikipédia 2001 comme moment plus importants vie web dix dernières années,French,162,30
janvier 2013 astéroïde 274301 wikipédia nommé honneur encyclopédie,French,94,12
2015 wikipédia reçoit prix érasme doté 150 000 euro apport particulier diffusion connaissances,French,131,22
wikipédia reçoit prix princesse asturies coopération internationale juin 2015,French,107,15
2019 espèce viola wikipedia nommée honneur encyclopédie,French,81,11
wikipédia financée don internautes consultant encyclopédie,French,76,9
wikipedia organise collecte fonds annuelle annoncée bandeau présents chaque page sou forme appels jimmy wale diver contributeurs,French,168,27
bien fonds reçus chaque année plus élevés année précédente suffisent forcément équilibrer budget wikimedia foundation héberge wikipédia selon rapport financier,French,221,33
argent nécessaire budget comblé don diverses institution entreprises ceux reçus particuliers reste année,French,154,24
google puis amazon exploitent contenu encyclopédie deux premier géants web respectivement 2017 2018 apporter wikipédia chaque fois montant million dollar,French,222,36
contrairement grand nombre site wikipedia refuse afficher publicité financer fonctionnement,French,119,17
selon certaines méthodes évaluation 2013 coût remplacement wikipedia pourrait être estimé milliard dollar 630 million dollar frais mise jour bénéfice wikipédia utilisateur estimé centaines milliard dollar,French,300,50
utilisation informatique contribue augmentation énergie grise consultation modification concourent consommation directe énergie,French,161,18
2018 serveurs wikimedia foundation hébergent données différentes wikipédias alimentés source énergie renouvelables hauteur envoyé atmosphère kilotonne co2,French,237,36
cela équivaut émissions 000 voitures parcourant 000 raison 120 émissions co2,French,119,24
suite accord paris climat 2015 fondation wikimedia décidé lancer initiative durabilité sustainability initiative réduire impact environnementaux activités,French,210,32
fondation wikimedia aussi décidé réaliser chaque année étude impact environnementaux,French,111,16
autres projets wikimedia modifier modifier code modifier wikidata apprentissage automatique anglais machine learning litt,French,155,22
apprentissage machine apprentissage artificiel apprentissage statistique champ étude intelligence artificielle fonde approches mathématiques statistiques donner ordinateurs capacité apprendre partir données dire améliorer leurs performance résoudre tâches sans être explicitement programmés chacune,French,397,52
plus largement concerne conception analyse optimisation développement implémentation telles méthodes,French,126,15
apprentissage automatique comporte généralement deux phase,French,62,6
première consiste estimer modèle partir données appelées observation disponibles nombre fini lors phase conception système,French,167,28
estimation modèle consiste résoudre tâche pratique telle traduire discours estimer densité probabilité reconnaître présence chat photographie participer conduite véhicule autonome,French,238,35
cette phase dite apprentissage entraînement généralement réalisée préalablement utilisation pratique modèle,French,134,19
seconde phase correspond mise production modèle déterminé nouvelles données peuvent alors être soumises afin obtenir résultat correspondant tâche souhaitée,French,192,30
pratique certains systèmes peuvent poursuivre apprentissage fois production peu moyen obtenir retour qualité résultats produits,French,182,27
selon information disponibles durant phase apprentissage apprentissage qualifié différentes manières,French,121,14
